specialwords,specialwords_noun
땡큐,연결방식
감사,전송방식
안녕,사이즈
추천,부가기능
뭐,크기
리뷰,무게
요약본,배터리
제공,키방식
색깔,반응속도
무슨,형태
기능,접점방식
얼마,키캡
무거워,키스위치
가벼워,특수기능키
얼마나,재질
kg,키형태
킬로그램,키개수
키로,구성품
반응,케이블
정보,케이블길이
언제,추천
배송비,LED
사고싶,호환
최저가,전원기능
갈축,색상
녹축,품목
청축,겸용기능
황축,자판
적축,단자
흑축,키압
백축,매크로
키보드감,수신기
키감,감응방식
타건,접은크기
타건감,키캡부가사양
가성비,화면크기
베젤,무게
배젤,종류
색,출시OS
,코어종류
,인텔 GPU
,램
,SSD
,코드명
,해상도
,CPU
,칩셋 제조사
,칩셋
,제조사
,CPU속도
,메모리 타입
,그래픽 메모리
,그래픽
,메모리
,베젤
,패널코팅
,무선랜
,블루투스
,유선랜
,영상출력
,단자
,카드 슬롯
,부가기능
,SSD 인터페이스
,배터리용량
,충전단자
,웹카메라
,스피커
,품목
,두께
,조명
,입력장치
,보안기능
,터보부스트
,패널
,사운드
,화면비율
,특징
,bit유형
,배터리 타입
,배터리
,타입
,사용시간
,무상AS
,출시년도
,NVIDIA GPU
,디스플레이 종류
,방향키
,디스플레이 특징
,화면펼침
,터치
,밝기
,HDD 용량
,ODD
,DCI-P3
,eUFS
,이동통신
,부피
,sRGB
,무선연결
,외장그래픽
,AMD GPU
,저전력
,NTSC
,터보코어
,배터리cell수
,디자인
,버스트
,주사율
,TGP
,무게감
,가격
,금액
